Initialised
         12256924 function calls (12247285 primitive calls) in 24.889 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    594/1    0.013    0.000   24.890   24.890 {built-in method builtins.exec}
        1    0.007    0.007   24.890   24.890 run_simulation.py:1(<module>)
        1    0.012    0.012   24.255   24.255 Thylakoid_model_2.py:449(Run_Simulation)
      100    0.070    0.001   23.809    0.238 Thylakoid_model_2.py:266(time_step)
      100    0.027    0.000   20.476    0.205 Thylakoid_model_2.py:160(population_matrix)
      100    0.149    0.001   20.390    0.204 Thylakoid_model_2.py:162(<listcomp>)
   116600    0.351    0.000   20.264    0.000 Thylakoid_model_2.py:38(particle_matrix)
   116600    0.409    0.000   11.602    0.000 Thylakoid_model_2.py:44(remove_repeat_cols)
   116603    0.868    0.000   10.051    0.000 arraysetops.py:121(unique)
   129080    1.334    0.000    6.640    0.000 Thylakoid_model_2.py:88(rotate)
   116603    1.692    0.000    6.464    0.000 arraysetops.py:268(_unique1d)
   116603    4.265    0.000    4.265    0.000 {method 'sort' of 'numpy.ndarray' objects}
   525004    0.935    0.000    4.178    0.000 defmatrix.py:112(__new__)
       40    0.038    0.001    2.275    0.057 Thylakoid_model_2.py:414(Hamiltonian)
   485126    0.286    0.000    2.060    0.000 fromnumeric.py:49(_wrapfunc)
   116600    1.136    0.000    1.838    0.000 Thylakoid_model_2.py:94(translate)
   135320    0.182    0.000    1.601    0.000 defmatrix.py:212(__mul__)
   135320    0.080    0.000    1.213    0.000 fromnumeric.py:2803(round_)
   488655    1.205    0.000    1.205    0.000 {built-in method numpy.core.multiarray.array}
      120    0.498    0.004    1.182    0.010 Thylakoid_model_2.py:386(distances)
   135320    0.124    0.000    1.134    0.000 fromnumeric.py:2734(around)
      100    0.003    0.000    1.063    0.011 Thylakoid_model_2.py:251(particle_step2)
   525012    1.033    0.000    1.033    0.000 {built-in method _warnings.warn}
   135420    0.888    0.000    1.032    0.000 {built-in method numpy.core.multiarray.dot}
      100    0.001    0.000    1.004    0.010 Thylakoid_model_2.py:147(collision3)
      100    0.116    0.001    0.975    0.010 Thylakoid_model_2.py:122(N_unique)
1503136/1503129    0.753    0.000    0.947    0.000 defmatrix.py:164(__array_finalize__)
   135320    0.784    0.000    0.879    0.000 {method 'round' of 'numpy.ndarray' objects}
    62400    0.134    0.000    0.849    0.000 Thylakoid_model_2.py:66(bound_LHCII)
   116603    0.256    0.000    0.819    0.000 arraysetops.py:256(reshape_uniq)
   349811    0.583    0.000    0.772    0.000 {method 'view' of 'numpy.ndarray' objects}
      100    0.002    0.000    0.700    0.007 algorithms.py:283(unique)
      120    0.003    0.000    0.683    0.006 distance.py:2285(cdist)
      120    0.672    0.006    0.672    0.006 {built-in method scipy.spatial._distance_wrap.cdist_euclidean_double_wrap}
      100    0.670    0.007    0.670    0.007 {method 'unique' of 'pandas._libs.hashtable.Float64HashTable' objects}
   139828    0.548    0.000    0.654    0.000 {built-in method __new__ of type object at 0x564f9cce3d60}
   116600    0.075    0.000    0.634    0.000 fromnumeric.py:404(repeat)
    840/1    0.003    0.000    0.627    0.627 <frozen importlib._bootstrap>:966(_find_and_load)
    838/1    0.003    0.000    0.627    0.627 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    636/1    0.002    0.000    0.627    0.627 <frozen importlib._bootstrap>:651(_load_unlocked)
    517/1    0.001    0.000    0.627    0.627 <frozen importlib._bootstrap_external>:672(exec_module)
   233206    0.116    0.000    0.608    0.000 fromnumeric.py:506(swapaxes)
   252333    0.444    0.000    0.598    0.000 {method 'astype' of 'numpy.ndarray' objects}
